"time","S","I","R"
140,464.106777891465,152.573158042818,383.320064065716
141,457.092816942432,151.973029134249,390.934153923318
142,450.214200251754,151.270145459356,398.515654288889
143,443.472481111822,150.468004799125,406.059514089051
144,436.868858645477,149.570279742546,413.560861611976
145,430.404194065556,148.580793297848,421.015012636596
146,424.07902769778,147.503494949462,428.417477352757
147,417.893596566314,146.342437334655,435.763966099029
148,411.847852354489,145.10175369245,443.050393953061
149,405.941479567535,143.785636215997,450.272884216467
150,400.173913739293,142.398315418444,457.427770842262
151,394.544359540386,140.944040601797,464.511599857816
152,389.051808660982,139.427061498671,471.521129840345
153,383.695057356786,137.851611138326,478.453331504887
154,378.472723562003,136.221889971013,485.305386466984
155,373.383263487473,134.542051269118,492.074685243408
156,368.424987635903,132.816187809133,498.758824554963
157,363.59607617955,131.048319825166,505.355603995283
158,358.894593657119,129.242384214185,511.863022128695
159,354.318502957887,127.402224963089,518.279272079023
160,349.865678571279,125.531584759265,524.602736669455
161,345.533919089061,123.63409773921,530.831983171728
162,341.320958954789,121.713283324914,536.965757720296
163,337.224479463671,119.772541092621,543.002979443707
164,333.242119020347,117.815146615493,548.942734364158
165,329.371482668025,115.844248218707,554.784269113267
166,325.610150907424,113.862864586341,560.526984506233
167,321.955687826776,111.873883156746,566.170429016477
168,318.405648566915,109.880059245174,571.71429218791
169,314.95758615011,107.884015827583,577.158398022306
170,311.609057697907,105.888243933673,582.502698368418
171,308.357630070396,103.895103583183,587.74726634642
172,305.200884955929,101.906825213441,592.892289830628
173,302.13642344307,99.9255115412028,597.938065015726
174,299.161870104836,97.9531398098305,602.884990085332
175,296.274876626066,95.9915643723538,607.733559001579
176,293.473125004003,94.042519564692,612.484355431304
177,290.754330351439,92.1076228262987,617.138046822261
178,288.116243330893,90.1883780283831,621.695378640723
179,285.556652247322,88.2861789727758,626.157168779901
180,283.07338482576,86.402313027381,630.524302146858
181,280.664309699083,84.5379648669606,634.797725433956
182,278.327337629909,82.6942202907139,638.978442079376
183,276.060422489383,80.8720700907279,643.067507419888
184,273.861562014317,79.0724139478446,647.066024037837
185,271.728798362857,77.2960643340267,650.975137303115
186,269.660218487766,75.5437504021426,654.79603111009
187,267.653954344926,73.8161218467714,658.529923808302
188,265.708182953707,72.1137527210949,662.178064325197
189,263.821126324551,70.4371451971286,665.741728478319
190,261.991051268052,68.7867332580853,669.222215473862
191,260.216269098777,67.1628863132811,672.620844587941
192,258.495135246016,65.5659127274772,675.938952026506
193,256.826048782694,63.9960632578695,679.177887959435
194,255.207451882784,62.4535343931627,682.339013724053
195,253.637829216673,60.9384715902726,685.423699193054
196,252.115707293152,59.4509724052106,688.433320301637
197,250.639653755916,57.9910895156094,691.369256728474
198,249.208276641767,56.558833633164,694.232889725068
199,247.820223607054,55.1541763049929,697.025600087952
200,246.474181128259,53.7770526035688,699.748766268171
201,245.16887368207,52.4273637054455,702.403762612483
202,243.903062909764,51.1049793595068,704.991957730728
203,242.67554677022,49.8097402459129,707.514712983866
204,241.485158685443,48.5414602272858,709.97338108727
205,240.330766682065,47.299928494015,712.369304823919
206,239.2112725319,46.0849116058517,714.703815862248
207,238.125610894276,44.8961554321767,716.978233673547
208,237.07274846259,43.7333869935276,719.193864543881
209,236.051683117178,42.5963162071365,721.352000675685
210,235.061443086366,41.4846375393478,723.453919374285
211,234.101086117329,40.3980315678836,725.500882314786
212,233.169698658133,39.3361664569946,727.494134884872
213,232.266395052167,38.298699348578,729.434905599254
214,231.390316745983,37.2852776723732,731.324405581643
215,230.540631511388,36.29554037835,733.163828110261
216,229.716532682492,35.3291190943985,734.954348223108
217,228.917238408301,34.3856392123998,736.697122379298
218,228.141990921283,33.4647209057408,738.393288172975
219,227.390055822291,32.5659800812711,740.043964096437
220,226.660721382053,31.6890292686195,741.650249349326
221,225.953297859437,30.8334784497947,743.213223690767
222,225.267116836568,29.9989358319387,744.733947331493
223,224.601530570824,29.1850085658788,746.213460863296
224,223.955911363692,28.3913034132054,747.652785223102
225,223.329650946379,27.6174273644197,749.052921689201
226,222.722159882083,26.8629882108441,750.414851907072
227,222.132866984733,26.1275950723786,751.739537942888
228,221.561218754012,25.4108588837527,753.027922362235
229,221.006678826434,24.7123928413463,754.280928332219
230,220.468727442219,24.0318128128706,755.49945974491
231,219.946860927691,23.3687377118925,756.684401360416
232,219.440591192914,22.7227898392348,757.83661896785
233,218.949445244261,22.0935951931651,758.956959562573
234,218.472964711594,21.480783750204,760.046251538201
235,218.010705389732,20.8839897183002,761.105304891967
236,217.562236793885,20.3028517640448,762.134911442069
237,217.127141728702,19.7370132155188,763.135845055778
238,216.705015870608,19.1861222422923,764.108861887099
239,216.295467363073,18.6498320140239,765.054700622902
240,215.898116424497,18.1278008390343,765.974082736468
241,215.51259496834,17.6196922841631,766.867712747496
242,215.138546235191,17.1251752771511,767.736278487656
243,214.775624436417,16.6439241927262,768.580451370856
244,214.423494409071,16.1756189235093,769.400886667419
245,214.081831281737,15.7199449368014,770.198223781461
246,213.750320150986,15.2765933182499,770.973086530763
247,213.428655768123,14.845260803346,771.72608342853
248,213.116542235924,14.4256497976451,772.45780796643
249,212.813692715057,14.017468386559,773.168838898383
250,212.51982913988,13.6204303355165,773.859740524603
251,212.234681943346,13.2342550812464,774.531062975407
252,211.957989790709,12.8586677148918,775.183342494399
253,211.689499321772,12.4933989576233,775.817101720604
254,211.428964901396,12.1381851293817,776.432849969222
255,211.176148378014,11.7927681113383,777.031083510647
256,210.930818849894,11.4568953026316,777.612285847473
257,210.692752438899,11.1303195718989,778.176927989201
258,210.461732071504,10.8127992040933,778.725468724402
259,210.237547266841,10.5040978430452,779.258354890113
260,210.019993931534,10.2039844301962,779.776021638269
261,209.808874161118,9.91223313990803,780.278892698973
262,209.603996047811,9.62862331172355,780.767380640465
263,209.405173494442,9.35293937992834,781.241887125629
264,209.212226034337,9.08497080074287,781.70280316492
265,209.024978656954,8.82451197744972,782.150509365596
266,208.843261639096,8.57136218374074,782.585376177162
267,208.666910381506,8.32532548554918,783.007764132944
268,208.495765250671,8.08621066161304,783.418024087715
269,208.329671425669,7.85383112299835,783.816497451332
270,208.168478749882,7.62800483179447,784.203516418322
271,208.012041587436,7.40855421917808,784.579404193385
272,207.860218684182,7.19530610302749,784.94447521279
273,207.712873033095,6.98809160525528,785.299035361649
274,207.569871743943,6.78674606901427,785.643382187042
275,207.431085917064,6.59110897591932,785.977805107016
276,207.296390521146,6.40102386341629,786.302585615437
277,207.16566427486,6.21633824241844,786.617997482721
278,207.038789532218,6.03690351532039,786.92430695246
279,206.915652171556,5.8625748944905,787.221772933953
280,206.796141487989,5.69321132133331,787.510647190677
281,206.68015008926,5.52867538600553,787.791174524734
282,206.567573794846,5.36883324786169,788.063592957292
283,206.458311538228,5.21355455669597,788.328133905075
284,206.352265272224,5.06271237484326,788.585022352932
285,206.249339877267,4.91618310019559,788.834477022536
286,206.149443072558,4.77384639018039,789.076710537261
287,206.052485329983,4.6355850867454,789.311929583271
288,205.95837979071,4.50128514238876,789.540335066901
289,205.867042184381,4.37083554726757,789.762122268351
290,205.77839075081,4.24412825741408,789.977480991775
291,205.692346164115,4.12105812408429,790.1865957118
292,205.608831459194,4.00152282426007,790.389645716545
293,205.527771960479,3.88542279232219,790.586805247198
294,205.449095212894,3.77266115290835,790.778243634197
295,205.372730914939,3.66314365496718,790.964125430093
296,205.298610853841,3.55677860701655,791.144610539141
297,205.226668842701,3.45347681361149,791.319854343687
298,205.156840659574,3.35315151302507,791.4900078274
299,205.089063988422,3.255718316143,791.655217695434
300,205.023278361876,3.16109514657085,791.815626491552
301,204.959425105759,3.06920218195085,791.971372712289
302,204.897447285303,2.97996179648357,792.122590918213
303,204.83728965301,2.89329850464806,792.269411842341
304,204.778898598114,2.80913890611284,792.411962495772
305,204.722222097578,2.72741163182857,792.550366270592
306,204.667209668591,2.64804729129228,792.684743040115
307,204.61381232251,2.57097842097182,792.815209256518
308,204.561982520201,2.49613943387824,792.94187804592
309,204.511674128749,2.42346657027316,793.064859300977
310,204.462842379468,2.35289784949701,793.184259771034
311,204.415443827201,2.28437302290385,793.300183149895
312,204.369436310838,2.21783352788742,793.412730161274
313,204.32477891505,2.15322244298283,793.521998641966
314,204.281431933162,2.09048444402777,793.628083622809
315,204.239356831164,2.02956576136664,793.731077407468
316,204.198516212799,1.9704141380808,793.831069649119
317,204.158873785715,1.9129787892278,793.928147425056
318,204.12039432863,1.85721036207216,794.022395309297
