Example SIR
N= 1000
b= 1e-04
y= 0.05
dt= 1
maxReps= 1000
T,S,I,R
453,200.057152923581,0.0303167459616457,799.912530330459
454,200.056546415393,0.0294074168518628,799.914046167757
455,200.055958100767,0.0285253606347078,799.915516538599
456,200.055387433932,0.0276697594381671,799.916942806631
457,200.054833885488,0.0268398199107194,799.918326294603
458,200.054296941916,0.0260347724865589,799.919668285599
459,200.053776105106,0.0252538706728151,799.920970024223
460,200.053270891887,0.024496390358111,799.922232717757
461,200.052780833585,0.0237616291418239,799.923457537274
462,200.052305475587,0.0230489056834286,799.924645618732
463,200.051844376915,0.0223575590713231,799.925798064016
464,200.051397109822,0.0216869482105553,799.926915941969
465,200.050963259393,0.0210364512288845,799.92800028938
466,200.05054242316,0.0204054649006301,799.929052111941
467,200.050134210727,0.0197934040877753,799.930072385186
468,200.049738243413,0.0191997011978112,799.931062055391
469,200.049354153893,0.0186238056578181,799.932022040451
470,200.048981585864,0.0180651834043006,799.932953230733
471,200.04862019371,0.0175233163883048,799.933856489904
472,200.048269642183,0.0169977020953593,799.934732655723
473,200.047929606094,0.0164878530797984,799.935582540828
474,200.047599770007,0.0159932965130348,799.936406933482
475,200.047279827949,0.0155135737453673,799.937206598307
476,200.046969483126,0.015048239880916,799.937982276995
477,200.046668447647,0.0145968633652934,799.938734688989
478,200.046376442259,0.01415902558563,799.939464532157
479,200.046093196083,0.0137343204825844,799.940172483436
480,200.045818446367,0.0133223541739795,799.940859199461
481,200.045551938243,0.0129227445897172,799.941525317169
482,200.045293424485,0.012535121117632,799.942171454399
483,200.045042665287,0.0121591242599592,799.942798210455
484,200.044799428034,0.0117944053000969,799.943406166668
485,200.04456348709,0.0114406259793551,799.943995886933
486,200.044334623587,0.0110974581833933,799.944567918232
487,200.044112625223,0.0107645836380546,799.945122791141
488,200.043897286065,0.0104416936143173,799.945661020323
489,200.043688406356,0.010128488642089,799.946183105003
490,200.043485792334,0.00982467823257907,799.946689529436
491,200.043289256046,0.00952998060899343,799.947180763347
492,200.043098615179,0.0092441224453007,799.947657262378
493,200.042913692889,0.00896683861282927,799.9481194685
494,200.042734317637,0.00869787193446024,799.948567810431
495,200.042560323028,0.00843697294618863,799.949002704027
496,200.042391547661,0.00818389966583237,799.949424552675
497,200.042227834975,0.00793841736867467,799.949833747658
498,200.042069033106,0.00770029836983229,799.950230668526
499,200.041914994744,0.00746932181314803,799.950615683445
500,200.041765577,0.00724527346641204,799.950989149535
501,200.04162064127,0.00702794552272236,799.951351413209
502,200.041480053109,0.00681713640780064,799.951702810485
503,200.041343682103,0.00661265059308464,799.952043667305
504,200.041211401752,0.0064142984144245,799.952374299835
505,200.04108308935,0.00622189589621466,799.952695014756
506,200.040958625871,0.00603526458079872,799.95300610955
507,200.040837895859,0.00585423136298916,799.953307872779
508,200.040720787325,0.00567862832954856,799.953600584348
509,200.040607191634,0.00550829260348375,799.953884515764
510,200.040497003415,0.00534306619300857,799.954159930394
511,200.040390120453,0.0051827958450353,799.954427083704
512,200.040286443603,0.00502733290305909,799.954686223496
513,200.040185876691,0.00487653316930366,799.954937590141
514,200.040088326431,0.00473025677100062,799.9551814168
515,200.039993702333,0.00458836803067835,799.955417929638
516,200.039901916622,0.00445073534034052,799.95564734804
517,200.039812884155,0.00431723103941735,799.955869884807
518,200.039726522347,0.00418773129637676,799.956085746359
519,200.039642751084,0.00406211599388555,799.956295132924
520,200.039561492661,0.0039402686174143,799.956498238723
521,200.0394826717,0.00382207614718267,799.956695252154
522,200.039406215087,0.00370742895334497,799.956886355962
523,200.039332051898,0.00359622069431889,799.957071727409
524,200.03926011334,0.00348834821816322,799.957251538444
525,200.03919033268,0.00338371146691297,799.957425955855
526,200.03912264519,0.00328221338378339,799.957595141428
527,200.039056988081,0.00318375982315685,799.957759252097
528,200.03899330045,0.00308825946326909,799.957918440088
529,200.038931523219,0.00299562372151393,799.958072853062
530,200.038871599082,0.00290576667228796,799.958222634248
531,200.038813472453,0.00281860496729903,799.958367922581
532,200.038757089414,0.00273405775826469,799.95850885283
533,200.038702397662,0.00265204662192885,799.958645555718
534,200.038649346466,0.00257249548732728,799.958778158049
535,200.038597886613,0.0024953305652344,799.958906782823
536,200.038547970371,0.00242048027972599,799.959031549351
537,200.038499551435,0.00234787520179442,799.959152573365
538,200.038452584891,0.00227744798495479,799.959269967125
539,200.038407027174,0.00220913330278235,799.959383839525
540,200.038362836024,0.00214286778832316,799.95949429619
541,200.038319970447,0.00207858997532202,799.959601439579
542,200.038278390683,0.002016240241213,799.959705369078
543,200.03823805816,0.00195576075181978,799.95980618109
544,200.038198935466,0.00189709540771452,799.959903969127
545,200.038160986311,0.00184018979218559,799.959998823898
546,200.038124175493,0.00178499112076577,799.960090833388
547,200.038088468866,0.00173144819227427,799.960180082944
548,200.038053833307,0.0016795113413271,799.960266655353
